#title = mean sea level anomaly global ocean (Annual signals retained) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 3.07 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
2003.65560,18.77000,,,
2003.65570,,12.67000,,
2003.68270,18.77000,,,
2003.68290,,15.67000,,
2003.71000,10.77000,17.17000,,
2003.73710,,18.07000,,
2003.73720,12.97000,,,
2003.76420,17.87000,,,
2003.76430,,21.07000,,
2003.79140,21.67000,19.57000,,
2003.81860,,19.37000,,
2003.81870,25.07000,,,
2003.84570,24.97000,18.47000,,
2003.87080,,16.87000,,
2003.87280,14.67000,,,
2003.90000,15.47000,,,
2003.91120,,13.17000,,
2003.92710,18.87000,,,
2003.92720,,17.47000,,
2003.95430,21.87000,16.07000,,
2003.98130,20.47000,,,
2003.98150,,11.67000,,
2004.00860,12.37000,11.07000,,
2004.03580,8.97000,,,
2004.03590,,14.67000,,
2004.06280,,12.77000,,
2004.06290,7.07000,,,
2004.08980,8.97000,,,
2004.09010,,10.57000,,
2004.11350,,4.07000,,
2004.11730,13.57000,,,
2004.14430,10.27000,,,
2004.14890,,8.17000,,
2004.17150,12.47000,8.77000,,
2004.19860,4.97000,7.67000,,
2004.22580,7.07000,,,
2004.22590,,7.97000,,
2004.25130,,9.87000,,
2004.25310,13.57000,,,
2004.28010,14.77000,6.87000,,
2004.30730,,10.07000,,
2004.30750,18.17000,,,
2004.33430,11.77000,,,
2004.33440,,5.27000,,
2004.36150,9.37000,5.47000,,
2004.38840,7.17000,,,
2004.38860,,4.57000,,
2004.41580,,8.27000,,
2004.44290,,7.77000,,
2004.47020,,6.57000,,
2004.47280,13.87000,,,
2004.49710,8.77000,,,
2004.49730,,10.97000,,
